1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
1125,1027,248,27,207,724,76,4.1411,1.0954,0.22044,0.13043,9.52632,9.50,78.50,37.88,5.40,41.40,9.50,0
946,553,901,355,328,457,343,0.6138,1.7107,0.95243,1.08232,1.33236,57.00,44.38,26.13,71.00,65.60,42.88,0
1120,800,480,275,465,590,210,1.6667,1.4000,0.42857,0.59140,2.80952,42.50,82.50,42.50,55.00,93.00,26.25,0
1224,362,814,210,287,411,389,0.4447,3.3812,0.66503,0.73171,1.05656,71.75,70.00,17.00,42.00,57.40,48.63,0
992,423,985,366,239,178,622,0.4294,2.3452,0.99294,1.53138,0.28617,67.75,44.63,20.63,73.20,47.80,77.75,0
910,592,898,245,412,318,482,0.6592,1.5372,0.98681,0.59466,0.65975,66.25,54.00,40.25,49.00,82.40,60.25,0
626,592,1182,229,336,228,572,0.5008,1.0574,1.88818,0.68155,0.39860,78.50,30.75,52.50,45.80,67.20,71.50,0
886,590,924,214,208,301,499,0.6385,1.5017,1.04289,1.02885,0.60321,69.75,54.25,43.50,42.80,41.60,62.38,0
760,991,649,240,198,443,357,1.5270,0.7669,0.85395,1.21212,1.24090,32.00,50.88,55.88,48.00,39.60,44.63,0
1013,512,875,133,354,363,437,0.5851,1.9785,0.86377,0.37571,0.83066,57.25,47.88,21.25,26.60,70.80,54.63,0
1350,600,450,70,132,550,250,1.3333,2.2500,0.33333,0.53030,2.20000,37.50,81.25,12.50,14.00,26.40,31.25,0
615,1112,673,211,467,255,545,1.6523,0.5531,1.09431,0.45182,0.46789,46.00,61.88,85.00,42.20,93.40,68.13,0
1151,435,814,253,215,169,631,0.5344,2.6460,0.70721,1.17674,0.26783,76.50,74.75,30.88,53.00,40.60,78.88,0
1039,228,1133,141,274,205,595,0.2012,4.5570,1.09047,0.51460,0.34454,90.13,48.50,18.63,28.20,54.80,74.38,0
1204,372,824,415,136,295,505,0.4515,3.2366,0.68439,3.05147,0.58416,62.25,59.25,8.75,83.00,27.20,63.13,0
1036,594,770,207,375,663,137,0.7714,1.7441,0.74324,0.55200,4.83942,55.63,59.38,29.88,41.40,75.00,17.13,0
1397,605,398,297,241,350,450,1.5201,2.3091,0.28490,1.23237,0.77778,33.38,83.63,9.00,59.40,48.20,56.25,0
817,773,810,159,261,492,308,0.9543,1.0569,0.99143,0.60920,1.59740,46.00,44.75,42.63,31.80,52.20,38.50,0
1260,1036,104,284,283,492,308,9.9615,1.2162,0.08254,1.00353,1.59740,7.38,94.38,36.88,56.80,56.60,38.50,0
956,760,684,410,192,418,382,1.1111,1.2579,0.71548,2.13542,1.09424,41.88,56.38,36.88,82.00,38.40,47.75,0
962,934,504,391,231,506,294,1.8532,1.0300,0.52391,1.69264,1.72109,41.88,78.88,58.63,78.20,32.80,36.75,0
1092,1083,225,500,305,323,477,4.8133,1.0083,0.20604,1.63934,0.67715,12.38,84.25,47.75,100.00,61.00,59.63,0
604,738,1058,400,325,303,497,0.6975,0.8184,1.75166,1.23077,0.60966,70.50,38.25,62.75,80.00,65.00,62.13,0
1280,604,516,172,61,351,449,1.1705,2.1192,0.40313,2.81967,0.78174,44.88,80.38,20.38,34.40,12.20,56.13,0
1295,859,246,177,241,626,174,3.4919,1.5076,0.18996,0.73444,3.59770,22.75,92.00,30.13,35.40,48.20,21.75,0
1127,438,835,200,288,337,463,0.5246,2.5731,0.74091,0.69444,0.72786,62.88,58.50,17.63,40.00,77.60,57.88,0
1023,342,1035,231,192,284,516,0.3304,2.9912,1.01173,1.20313,0.55039,68.38,39.00,11.13,46.20,38.40,64.50,0
1189,551,660,218,276,232,568,0.8348,2.1579,0.55509,0.78986,0.40845,46.38,63.88,15.25,43.60,55.20,71.00,0
1096,736,568,217,303,628,172,1.2958,1.4891,0.51825,0.71617,3.65116,40.25,69.25,32.25,43.40,60.60,21.50,0
1379,393,628,481,278,77,723,0.6258,3.5089,0.45540,1.73022,0.10650,50.88,72.38,0.00,96.20,55.60,90.38,0
1278,884,238,184,282,730,70,3.7143,1.4457,0.18623,0.65248,10.42857,13.25,83.50,23.75,36.80,56.40,8.75,0
