1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
759,798,843,179,353,541,259,0.9466,0.9511,1.11067,0.50708,2.08880,55.13,49.75,54.88,35.80,70.60,32.38,0
482,627,1291,220,280,450,350,0.4857,0.7687,2.67842,0.78571,1.28571,82.25,20.88,60.63,44.00,56.00,43.75,0
947,486,967,302,395,205,595,0.5026,1.9486,1.02112,0.76456,0.34454,68.50,47.63,29.25,58.40,79.00,74.38,0
1021,460,919,270,237,187,613,0.5005,2.2196,0.90010,1.13924,0.30506,83.50,68.63,41.00,54.00,47.40,76.63,0
1010,700,690,301,203,441,359,1.0145,1.4429,0.68317,1.48276,1.22841,39.00,52.75,26.50,60.20,40.60,44.88,0
1103,460,837,166,249,378,422,0.5496,2.3978,0.75884,0.66667,0.89573,62.38,57.75,19.88,33.20,49.80,52.75,0
1330,238,832,72,266,475,325,0.2861,5.5882,0.62556,0.27068,1.46154,74.75,70.75,4.50,18.80,53.20,40.63,0
992,423,985,366,239,178,622,0.4294,2.3452,0.99294,1.53138,0.28617,67.75,44.63,20.63,73.20,47.80,77.75,0
1024,945,431,219,252,351,449,2.1926,1.0836,0.42090,0.86905,0.78174,38.75,84.88,56.88,43.80,50.40,56.13,0
1123,689,588,104,272,408,392,1.1718,1.6299,0.52360,0.38235,1.04082,44.25,70.75,30.38,20.80,54.40,49.00,0
1249,571,580,271,282,520,280,0.9845,2.1874,0.46437,0.96099,1.85714,47.63,75.13,19.00,54.20,56.40,35.00,0
1253,494,653,268,299,337,463,0.7565,2.5364,0.52115,0.89632,0.72786,47.88,66.25,9.63,53.60,59.80,57.88,0
1305,414,681,161,140,308,492,0.6079,3.1522,0.52184,1.15000,0.62602,56.00,70.88,7.75,32.20,28.00,61.50,0
1190,588,622,163,314,521,279,0.9453,2.0238,0.52269,0.51911,1.86738,59.88,82.13,33.38,32.60,62.80,34.88,0
779,837,784,373,286,479,321,1.0676,0.9307,1.00642,1.30420,1.49221,45.88,47.88,50.50,74.60,57.20,40.13,0
1101,435,864,170,395,230,570,0.5035,2.5310,0.78474,0.43038,0.40351,67.50,59.50,21.88,34.00,79.00,71.25,0
980,582,838,339,259,233,567,0.6945,1.6838,0.85510,1.30888,0.41093,59.13,54.38,31.88,67.80,51.80,70.88,0
1033,540,827,307,253,537,263,0.6530,1.9130,0.80058,1.21344,2.04183,59.13,55.75,26.63,61.40,50.60,32.88,0
586,876,938,321,400,311,489,0.9339,0.6689,1.60068,0.80250,0.63599,59.00,41.75,68.50,64.20,80.00,61.13,0
960,523,917,292,312,142,658,0.5703,1.8356,0.95521,0.93590,0.21581,65.25,50.63,30.63,58.40,62.40,82.25,0
1138,724,538,172,307,455,345,1.3457,1.5718,0.47276,0.56026,1.31884,27.75,60.50,18.25,34.40,61.40,43.13,0
944,420,1036,232,224,329,471,0.4054,2.2476,1.09746,1.03571,0.69851,73.38,43.88,25.88,46.40,44.80,58.88,0
825,751,824,123,365,433,367,0.9114,1.0985,0.99879,0.33699,1.17984,53.38,50.38,47.25,29.20,73.00,45.88,0
1278,771,351,200,206,736,64,2.1966,1.6576,0.27465,0.97087,11.50000,31.50,87.63,27.88,40.00,41.20,8.00,0
1013,512,875,133,354,363,437,0.5851,1.9785,0.86377,0.37571,0.83066,57.25,47.88,21.25,26.60,70.80,54.63,0
1350,600,450,70,132,550,250,1.3333,2.2500,0.33333,0.53030,2.20000,37.50,81.25,12.50,14.00,26.40,31.25,0
793,522,1085,298,155,149,651,0.4811,1.5192,1.36822,1.92258,0.22888,76.38,40.75,41.63,59.60,31.00,81.38,0
1208,893,299,374,229,510,290,2.9866,1.3527,0.24752,1.63319,1.75862,23.88,86.50,35.50,74.80,45.80,36.25,0
892,645,863,249,336,252,548,0.7474,1.3829,0.96749,0.74107,0.45985,69.38,61.50,50.00,49.80,67.20,68.50,0
